Submitted On,Round,Winner,Winners Score,Opponent,Opponents Score,,,,,,,
45305.65895,15,Jason Ubeika,501,Randi Goldberg,342,,,,,,,
45305.659,15,Ben Schoenbrun,466,Tim Weiss,357,,,,,,,
45305.66073,15,Stefan Kac,510,Dean Saldanha,355,,,,,,,
45305.66126,15,Kevin Fraley,556,Chris Lipe,435,,,,,,,
45305.66228,15,Rob Robinsky,537,Sam Rosin,397,,,,,,,
45305.66275,15,David Brown,509,Jennifer Clinchy,401,,,,,,,
45305.66604,15,Austin Shin,504,Evans Clinchy,465,,,,,,,
45305.66605,15,Erickson Smith,367,Brad Whitmarsh,348,,,,,,,
45305.66828,15,Joshua Castellano,520,Robert Linn,311,,,,,,,
45305.67131,15,Mohammad Sulaiman,455,Evan Berofsky,410,,,,,,,
45305.69731,16,Kevin Fraley,548,Becky Dyer,353,,,,,,,
45305.69851,16,Erickson Smith,474,Matthew O'Connor,442,,,,,,,
45305.70032,16,Jason Ubeika,469,Jennifer Clinchy,392,,,,,,,
45305.70193,16,Brad Whitmarsh,422,Randi Goldberg,392,,,,,,,
45305.702,16,Dave Wiegand,489,Austin Shin,444,,,,,,,
45305.70241,16,Puneet Sharma,483,Stefan Kac,374,,,,,,,
45305.70392,16,Tim Weiss,435,Chris Lipe,432,,,,,,,
45305.70686,16,Evan Berofsky,460,Dean Saldanha,367,,,,,,,
45305.70744,16,Rob Robinsky,455,Evans Clinchy,446,,,,,,,
45305.71534,16,Joshua Castellano,417,Sam Rosin,416,,,,,,,
45305.71611,16,David Brown,495,Mohammad Sulaiman,427,,,,,,,
45305.71818,16,Robert Linn,503,Ben Schoenbrun,408,,,,,,,
45306.33737,17,Ben Schoenbrun,494,Chris Lipe,438,,,,,,,
45306.33807,17,Matthew O'Connor,515,Randi Goldberg,384,,,,,,,
45306.34488,17,Brad Whitmarsh,430,Jennifer Clinchy,363,,,,,,,
45306.34725,17,Tim Weiss,483,Robert Linn,341,,,,,,,
45306.34921,17,Becky Dyer,452,Stefan Kac,420,,,,,,,
45306.35044,17,Evan Berofsky,429,Erickson Smith,380,,,,,,,
45306.3511,17,Dave Wiegand,471,Rob Robinsky,404,,,,,,,
45306.3525,17,Mohammad Sulaiman,448,David Brown,341,,,,,,,
45306.35469,17,Joshua Castellano,437,Sam Rosin,363,,,,,,,
45306.35593,17,Kevin Fraley,500,Evans Clinchy,340,,,,,,,
45306.35645,17,Austin Shin,488,Puneet Sharma,318,,,,,,,
45306.3574,17,Dean Saldanha,450,Jason Ubeika,429,,,,,,,
45306.38922,18,Matthew O'Connor,526,Jason Ubeika,411,,,,,,,
45306.39773,18,Chris Lipe,621,Dean Saldanha,296,,,,,,,
45306.40006,18,Evans Clinchy,456,Ben Schoenbrun,367,,,,,,,
45306.40043,18,Dave Wiegand,552,Rob Robinsky,378,,,,,,,
45306.40125,18,Brad Whitmarsh,430,Mohammad Sulaiman,305,,,,,,,
45306.40304,18,Evan Berofsky,425,Stefan Kac,368,,,,,,,
