"Submitted On","Round","Winner","Winners Score","Opponent","Opponents Score",,,,,,,
"01/18/26 10:34 AM",11,"Geoff Thevenot",423,"Puneet Sharma",333,,,,,,,
"01/18/26 10:35 AM",11,"Erickson Smith",411,"Josh Sokol",399,,,,,,,
"01/18/26 10:37 AM",11,"Greg Harper",389,"Tim Weiss",386,,,,,,,
"01/18/26 11:11 AM",12,"Geoff Thevenot",494,"Scott Jackson",404,,,,,,,
"01/18/26 11:17 AM",12,"Charles Reinke",528,"Sandy Nang",447,,,,,,,
"01/18/26 11:19 AM",12,"Mohammad Sulaiman",470,"Randi Goldberg",404,,,,,,,
"01/18/26 11:21 AM",12,"Matthew O'Connor",502,"Evans Clinchy",480,,,,,,,
"01/18/26 11:23 AM",12,"Puneet Sharma",532,"Tim Weiss",461,,,,,,,
"01/18/26 11:25 AM",12,"Rob Robinsky",443,"Chris Lipe",390,,,,,,,
"01/18/26 11:26 AM",12,"Erickson Smith",486,"Thomas Reinke",396,,,,,,,
"01/18/26 11:27 AM",12,"Eta Karo",512,"Jason Ubeika",413,,,,,,,
"01/18/26 11:32 AM",12,"Ben Schoenbrun",404,"Austin Shin",404,,,,,,,
"01/18/26 11:33 AM",12,"Dave Wiegand",412,"Joshua Castellano",348,,,,,,,
"01/18/26 11:33 AM",12,"Josh Sokol",422,"Kevin Fraley",360,,,,,,,
"01/18/26 11:39 AM",12,"Ekansh Arora",431,"Greg Harper",388,,,,,,,
"01/18/26 01:23 PM",13,"Evans Clinchy",566,"Charles Reinke",440,,,,,,,
"01/18/26 01:28 PM",13,"Dave Wiegand",513,"Geoff Thevenot",409,,,,,,,
"01/18/26 01:30 PM",13,"Thomas Reinke",565,"Sandy Nang",313,,,,,,,
"01/18/26 01:34 PM",13,"Ben Schoenbrun",413,"Chris Lipe",389,,,,,,,
"01/18/26 01:35 PM",13,"Matthew O'Connor",458,"Randi Goldberg",411,,,,,,,
"01/18/26 01:38 PM",13,"Mohammad Sulaiman",447,"Scott Jackson",410,,,,,,,
"01/18/26 01:39 PM",13,"Tim Weiss",483,"Jason Ubeika",374,,,,,,,
"01/18/26 01:40 PM",13,"Puneet Sharma",399,"Greg Harper",368,,,,,,,
"01/18/26 01:41 PM",13,"Rob Robinsky",458,"Josh Sokol",422,,,,,,,
"01/18/26 01:42 PM",13,"Joshua Castellano",483,"Austin Shin",413,,,,,,,
"01/18/26 01:44 PM",13,"Kevin Fraley",508,"Erickson Smith",482,,,,,,,
"01/18/26 01:45 PM",13,"Eta Karo",481,"Ekansh Arora",357,,,,,,,
"01/18/26 02:28 PM",14,"Rob Robinsky",532,"Dave Wiegand",456,,,,,,,
"01/18/26 02:29 PM",14,"Tim Weiss",388,"Chris Lipe",328,,,,,,,
"01/18/26 02:31 PM",14,"Sandy Nang",455,"Ben Schoenbrun",436,,,,,,,
"01/18/26 02:31 PM",14,"Charles Reinke",479,"Matthew O'Connor",374,,,,,,,
"01/18/26 02:32 PM",14,"Scott Jackson",406,"Mohammad Sulaiman",368,,,,,,,
"01/18/26 02:32 PM",14,"Evans Clinchy",421,"Thomas Reinke",333,,,,,,,
"01/18/26 02:35 PM",14,"Jason Ubeika",534,"Randi Goldberg",400,,,,,,,
"01/18/26 02:36 PM",14,"Puneet Sharma",473,"Greg Harper",381,,,,,,,
"01/18/26 02:37 PM",14,"Kevin Fraley",460,"Joshua Castellano",368,,,,,,,
"01/18/26 02:39 PM",14,"Josh Sokol",452,"Geoff Thevenot",388,,,,,,,
"01/18/26 02:42 PM",14,"Austin Shin",448,"Erickson Smith",376,,,,,,,
"01/18/26 02:43 PM",14,"Eta Karo",550,"Ekansh Arora",459,,,,,,,
"01/18/26 03:19 PM",15,"Evans Clinchy",564,"Tim Weiss",455,,,,,,,
"01/18/26 03:23 PM",15,"Puneet Sharma",555,"Scott Jackson",283,,,,,,,
"01/18/26 03:24 PM",15,"Ben Schoenbrun",470,"Sandy Nang",380,,,,,,,
"01/18/26 03:26 PM",15,"Chris Lipe",521,"Charles Reinke",397,,,,,,,
"01/18/26 03:27 PM",15,"Matthew O'Connor",487,"Joshua Castellano",374,,,,,,,
"01/18/26 03:27 PM",15,"Thomas Reinke",445,"Rob Robinsky",339,,,,,,,
"01/18/26 03:28 PM",15,"Eta Karo",490,"Austin Shin",368,,,,,,,
